,temp_zone_0,phvac_0,temp_outdoor,solar,occ_0,Supply_airflow,Cooling_sp,Heating_sp,Cooling Coil BTU,VAV 13 BTU,temp_sup,CC_Valve,HC_Valve,PHC_Valve,MAT,PHC_DAT,HC_DAT,Heating Coil BTU,Preheating Coil BTU,temp_sup_spt,CO2Sensor,OA_Airflow,OA_DamperSignal,CO2Setpoint,Time,day_sin,day_cos
2023-08-31 08:30:00,71.63239543,-2321.114583,58.62,291.8,0,520.2070563,80.0,65.0,3.722851038,0.033854683,57.72397232,38.68704351,0.0,0.0,64.36506653,58.62628428,64.88657379,13.8921086,10472.53906,56.0,415.4848485,-355.5893098,61.0,1000.0,2023-08-31 08:30:00,0.7933533402912354,-0.6087614290087203
2023-08-31 08:45:00,71.69979858,-2316.102905,58.64,336.9333333,0,519.5038766,80.0,65.0,3.857626756,0.03406302,57.8067805,39.32841873,0.0,0.0,64.4887263,58.93715541,65.08505758,13.94725196,10472.25553,56.0,413.7575758,-355.5893098,61.0,1000.0,2023-08-31 08:45:00,0.7518398074789777,-0.6593458151000685
2023-08-31 09:00:00,71.80429077,-2285.623673,58.52666667,383.2,3,520.0679839,80.0,65.0,3.613412937,0.034167188,58.09570694,37.81847763,0.0,0.0,64.76714325,59.41145325,65.29194132,13.9120067,10472.19336,56.66666667,422.7575758,-364.9177642,61.66666667,1000.0,2023-08-31 09:00:00,0.7071067811865476,-0.7071067811865475
2023-08-31 09:15:00,71.97610474,-2215.760211,59.84666667,431.4,4,520.3914592,80.0,65.0,3.167506933,0.034063019,58.69636663,37.83133825,0.0,0.0,64.98077138,59.84027608,65.49798075,13.92115911,10472.24902,57.0,461.969697,-360.248093,61.33333333,1000.0,2023-08-31 09:15:00,0.659345815100069,-0.7518398074789773
2023-08-31 09:30:00,72.11736043,-2258.330087,60.72,468.0,4,522.8595853,80.0,65.0,4.031564077,0.033542177,58.64845785,37.80215708,0.0,0.0,65.18934377,60.37697093,65.73260752,13.91927338,10472.79688,57.0,484.1818182,-374.2864927,62.33333333,1000.0,2023-08-31 09:30:00,0.6087614290087209,-0.793353340291235
2023-08-31 09:45:00,72.23515828,-2289.615133,60.69333333,496.8666667,5,524.3980484,80.0,65.0,3.541510979,0.034479693,58.62684886,35.77559408,0.0,0.0,65.48788706,60.92483648,65.98742421,13.90149625,10472.86035,57.0,490.030303,-383.688827,63.0,1000.0,2023-08-31 09:45:00,0.5555702330196025,-0.831469612302545
2023-08-31 10:00:00,72.37364705,-2237.682317,61.74,539.9333333,5,522.1912608,80.0,65.0,3.986113946,0.033750514,59.01627477,40.77332179,0.0,0.0,65.77297211,61.47463989,66.23300425,13.96751245,10473.24544,57.0,496.8181818,-393.1179191,63.66666667,1000.0,2023-08-31 10:00:00,0.5000000000000003,-0.8660254037844385
2023-08-31 10:15:00,72.5255839,-2268.458545,62.79333333,581.4,5,521.5775247,80.0,65.0,3.230620464,0.033958851,58.96879323,36.57555389,0.0,0.0,65.98153687,62.14788183,66.40878805,13.93546295,10473.18229,57.66666667,507.5151515,-388.4004634,63.33333333,1000.0,2023-08-31 10:15:00,0.4422886902190017,-0.8968727415326881
2023-08-31 10:30:00,72.68763224,-2175.866845,63.34,613.8,5,521.4220441,80.0,65.0,2.802672466,0.034375525,59.69066493,36.25935872,0.0,0.0,65.97397105,62.63844426,66.53243256,13.95663993,10473.36198,58.0,502.5151515,-364.9177642,61.66666667,1000.0,2023-08-31 10:30:00,0.3826834323650899,-0.9238795325112867
2023-08-31 10:45:00,72.90756226,-2173.239427,64.06,645.8666667,5,522.3724215,80.0,65.0,3.723248482,0.034063019,59.95032247,39.62484614,0.0,0.0,66.60645803,63.14132818,66.93959554,13.94829909,10473.33854,58.0,513.4242424,-355.5893098,61.0,1000.0,2023-08-31 10:45:00,0.32143946530316175,-0.9469301294951056
2023-08-31 11:00:00,73.05903117,-2223.680804,64.09333333,671.3333333,5,521.7570025,80.0,65.0,4.042161306,0.033854683,59.77746709,39.5082016,0.0,0.0,66.75703176,63.48990377,67.19369507,13.9227759,10473.34408,58.0,512.3333333,-355.5893098,61.0,1000.0,2023-08-31 11:00:00,0.258819045102521,-0.9659258262890682
2023-08-31 11:15:00,73.22761027,-2256.373728,64.36666667,700.8,6,519.024302,80.0,65.0,4.237567584,0.034063019,59.67465083,39.38058472,0.0,0.0,66.95389811,63.91829046,67.37884013,13.94190089,10473.21029,58.0,507.7272727,-355.5893098,61.0,1000.0,2023-08-31 11:15:00,0.1950903220161286,-0.9807852804032304
2023-08-31 11:30:00,73.37578328,-2285.332437,64.78666667,724.8666667,5,520.0150878,80.0,65.0,4.431080818,0.03406302,59.68159739,39.21667099,0.0,0.0,67.29047139,64.49629211,67.65158081,13.91021506,10472.62467,58.0,499.5757576,-355.5893098,61.0,1000.0,2023-08-31 11:30:00,0.130526192220052,-0.9914448613738104
2023-08-31 11:45:00,73.52084351,-2282.202841,65.72666667,739.5333333,7,521.3194628,80.0,65.0,3.326051633,0.03406302,59.87726084,35.12947845,0.0,0.0,67.14320882,64.92105611,67.6456782,13.92252509,10472.79264,58.66666667,505.2424242,-355.5893098,61.0,1000.0,2023-08-31 11:45:00,0.06540312923014356,-0.9978589232386035
2023-08-31 12:00:00,73.72704061,-2205.76326,66.42666667,753.8666667,6,519.4526274,80.0,65.0,3.852256934,0.033854682,60.48935954,34.44123332,0.0,0.0,67.43102773,65.2633489,67.80654144,13.94032637,10472.89616,59.0,526.3636364,-374.2864927,62.33333333,1000.0,2023-08-31 12:00:00,1.2246467991473532e-16,-1.0
2023-08-31 12:15:00,73.82819621,-2188.609759,66.82,763.6666667,1,520.736299,80.0,65.0,3.971652428,0.033646346,60.72652435,35.15980657,0.0,0.0,67.91182709,65.84361521,68.24376678,13.96697235,10472.61849,59.0,498.8787879,-364.9177642,61.66666667,1000.0,2023-08-31 12:15:00,-0.06540312923014287,-0.9978589232386035
2023-08-31 12:30:00,73.90921021,-2209.106393,68.20666667,768.3333333,5,520.0903639,80.0,65.0,4.101330678,0.033438008,60.66556931,34.91929372,0.0,0.0,67.9505717,66.30365499,68.36679331,13.94341119,10472.90625,59.0,462.8787879,-364.9177642,61.66666667,1000.0,2023-08-31 12:30:00,-0.13052619222005132,-0.9914448613738105
2023-08-31 12:45:00,74.04415894,-2201.716869,68.53333333,777.7333333,4,520.1449398,80.0,65.0,4.166323821,0.033958851,60.85868708,35.91449483,0.0,0.0,68.33140564,66.67628225,68.67108409,13.96234353,10472.44076,59.0,474.5454545,-378.9838829,62.66666667,1000.0,2023-08-31 12:45:00,-0.19509032201612792,-0.9807852804032305
2023-08-31 13:00:00,74.19564819,-2211.945812,69.06,783.8,4,519.8885061,80.0,65.0,4.358078957,0.034167188,60.92985408,37.56981023,0.0,0.0,68.67615,67.0296224,68.9720993,13.95346673,10472.56478,59.0,478.7272727,-364.9177642,61.66666667,1000.0,2023-08-31 13:00:00,-0.25881904510252035,-0.9659258262890684
2023-08-31 13:15:00,74.38851929,-2223.449412,68.81333333,784.6,4,517.1432678,80.0,65.0,4.718309561,0.033750514,60.99621455,40.06260427,0.0,0.0,69.22260284,67.58591461,69.43775177,14.00600465,10472.49479,59.0,484.2727273,-355.5893098,61.0,1000.0,2023-08-31 13:15:00,-0.3214394653031611,-0.9469301294951058
2023-08-31 13:30:00,74.49614461,-2251.012196,69.16,785.2,4,518.9844904,80.0,65.0,4.878434181,0.034271356,60.979702,41.4681193,0.0,0.0,69.58120982,68.02472178,69.78294881,13.9867541,10472.61914,59.0,478.8484848,-355.5893098,61.0,1000.0,2023-08-31 13:30:00,-0.3826834323650892,-0.923879532511287
2023-08-31 13:45:00,74.56680298,-2252.449708,69.61333333,777.7333333,4,520.1830715,80.0,65.0,5.043816249,0.033750514,61.07852427,45.08505122,0.0,0.0,69.7880071,68.264829,70.01428477,13.98569171,10472.76953,59.0,476.8484848,-355.5893098,61.0,1000.0,2023-08-31 13:45:00,-0.4422886902190011,-0.8968727415326884
2023-08-31 14:00:00,74.66789754,-2278.809151,70.16666667,768.9333333,4,520.6544101,80.0,65.0,5.074387709,0.033750514,61.03569412,41.51437378,0.0,0.0,70.10296631,68.89030965,70.29132843,13.99176725,10473.31315,59.66666667,482.030303,-355.5893098,61.0,1000.0,2023-08-31 14:00:00,-0.4999999999999997,-0.8660254037844388
2023-08-31 14:15:00,74.74502563,-2215.743731,71.56666667,754.4666667,4,517.8901569,80.0,65.0,5.100508054,0.033854683,61.41874568,38.24953079,0.0,0.0,70.37326813,69.31034342,70.54142507,14.01297633,10473.11426,60.0,484.4242424,-355.5893098,61.0,1000.0,2023-08-31 14:15:00,-0.555570233019602,-0.8314696123025455
2023-08-31 14:30:00,74.84559123,-2164.459022,71.19333333,737.7333333,4,517.2938687,80.0,65.0,4.890047232,0.034167188,61.81194941,39.46973165,0.0,0.0,70.58283997,69.5052592,70.77386983,13.96374544,10473.01986,60.0,485.6060606,-355.5893098,61.0,1000.0,2023-08-31 14:30:00,-0.6087614290087203,-0.7933533402912354
2023-08-31 14:45:00,74.95018514,-2181.735225,71.42666667,717.0666667,4,519.0680276,80.0,65.0,5.105765502,0.033854683,61.85585403,40.41757456,0.0,0.0,70.81360372,69.86652629,70.96833801,13.9658734,10473.17285,60.0,488.4848485,-355.5893098,61.0,1000.0,2023-08-31 14:45:00,-0.6593458151000685,-0.7518398074789777
2023-08-31 15:00:00,75.01048787,-2164.699083,71.70666667,689.0,4,519.5038954,80.0,65.0,5.287158648,0.033750514,62.02533086,43.80913289,0.0,0.0,71.20854696,70.22627767,71.31260681,13.98364353,10472.61361,60.0,485.7878788,-355.5893098,61.0,1000.0,2023-08-31 15:00:00,-0.7071067811865471,-0.7071067811865479
2023-08-31 15:15:00,75.05081177,-2184.158726,72.23333333,673.3333333,3,524.1928827,80.0,65.0,5.379376252,0.033958851,62.06060918,47.23471451,0.0,0.0,71.41585795,70.58369954,71.55211131,13.98514016,10472.81413,60.0,480.0606061,-355.5893098,61.0,1000.0,2023-08-31 15:15:00,-0.7518398074789773,-0.6593458151000691
2023-08-31 15:30:00,75.10134888,-2194.601559,72.22,620.9333333,3,519.5327989,80.0,65.0,5.72296524,0.033646346,61.94415665,48.90323639,0.0,0.0,71.60374196,70.75780487,71.74596659,13.98492559,10473.1556,60.0,478.7575758,-355.5893098,61.0,1000.0,2023-08-31 15:30:00,-0.7933533402912349,-0.6087614290087209
2023-08-31 15:45:00,75.12806193,-2218.36384,71.61333333,567.4666667,3,518.5552056,80.0,65.0,6.113399824,0.033750514,61.80174383,49.30461756,0.0,0.0,71.82726796,70.760348,71.93651581,13.98976231,10473.06868,60.0,472.030303,-355.5893098,61.0,1000.0,2023-08-31 15:45:00,-0.8314696123025448,-0.555570233019603
2023-08-31 16:00:00,75.1553243,-2249.533069,71.49333333,538.1333333,3,521.2234707,80.0,65.0,6.046040058,0.03406302,61.70247014,49.01498795,0.0,0.0,71.89586385,70.81191254,72.03646596,13.91907565,10473.35775,60.0,466.030303,-355.5893098,61.0,1000.0,2023-08-31 16:00:00,-0.8660254037844384,-0.5000000000000004
2023-08-31 16:15:00,75.12507121,-2244.604933,71.55333333,506.9333333,4,519.1143627,80.0,65.0,6.249557654,0.033854683,61.65311178,48.45340729,0.0,0.0,72.0017395,70.82291412,72.15084585,13.96522045,10473.51921,60.0,464.3333333,-355.5893098,61.0,1000.0,2023-08-31 16:15:00,-0.8968727415326883,-0.44228869021900136
