,Date/Time,temp_outdoor,solar,occ_0,heating,cooling,temp_zone_0,ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) ,Time,day_sin,day_cos,Cphvac_0,Hphvac_0,phvac_0
2023-07-31 11:15:00, 07/31  11:30:00,77.0,681.0,0.72567,0.0,2266.214794294634,75.39468185063176,0.0,0.0,49.94019419210926,0.0,0.0,20.09048324475839,2023-07-31 11:15:00,0.1950903220161286,-0.9807852804032304,-2266.214794294634,0.0,-2266.214794294634
2023-07-31 11:30:00, 07/31  11:45:00,77.0,652.0,0.72567,0.0,2269.7472505347114,75.42898104708425,0.0,0.0,50.69319891526195,0.0,0.0,20.156499679262428,2023-07-31 11:30:00,0.130526192220052,-0.9914448613738104,-2269.7472505347114,0.0,-2269.7472505347114
2023-07-31 11:45:00, 07/31  12:00:00,77.0,623.0,0.72567,0.0,2272.145142402617,75.45097583497655,0.0,0.0,50.87282123277265,0.0,0.0,20.190204865151944,2023-07-31 11:45:00,0.0654031292301435,-0.9978589232386036,-2272.145142402617,0.0,-2272.145142402617
2023-07-31 12:00:00, 07/31  12:15:00,77.9,594.0,0.72567,0.0,2279.5259703183883,75.5174236057089,0.0,0.0,51.03143342069775,0.0,0.0,20.22955781053396,2023-07-31 12:00:00,1.2246467991473532e-16,-1.0,-2279.5259703183883,0.0,-2279.5259703183883
2023-07-31 12:15:00, 07/31  12:30:00,78.8,565.0,0.72567,0.0,2293.098746990362,75.63746326853929,0.0,0.0,51.27464919369587,0.0,0.0,20.2657764087083,2023-07-31 12:15:00,-0.0654031292301428,-0.9978589232386036,-2293.098746990362,0.0,-2293.098746990362
2023-07-31 12:30:00, 07/31  12:45:00,79.7,552.75,0.72567,0.0,2306.503772222406,75.75706801580736,0.0,0.0,51.56123725723497,0.0,0.0,20.289016132846545,2023-07-31 12:30:00,-0.1305261922200513,-0.9914448613738104,-2306.503772222406,0.0,-2306.503772222406
2023-07-31 12:45:00, 07/31  13:00:00,80.6,540.5,0.72567,0.0,2330.2980991503173,75.96820114251025,0.0,0.0,52.04405237478549,0.0,0.0,20.33077077732985,2023-07-31 12:45:00,-0.1950903220161279,-0.9807852804032304,-2330.2980991503173,0.0,-2330.2980991503173
2023-07-31 13:00:00, 07/31  13:15:00,80.15,528.25,0.72567,0.0,2351.0225570737416,76.15229573547435,0.0,0.0,52.34591867332346,0.0,0.0,20.369342789332777,2023-07-31 13:00:00,-0.2588190451025203,-0.9659258262890684,-2351.0225570737416,0.0,-2351.0225570737416
2023-07-31 13:15:00, 07/31  13:30:00,79.7,516.0,0.72567,0.0,2372.146157708767,76.33891870162873,0.0,0.0,52.255590402790894,0.0,0.0,20.40993665267388,2023-07-31 13:15:00,-0.3214394653031611,-0.9469301294951058,-2372.146157708767,0.0,-2372.146157708767
2023-07-31 13:30:00, 07/31  13:45:00,79.25,481.25,0.72567,0.0,2391.2816859330164,76.508205886745,0.0,0.0,51.72518526768516,0.0,0.0,20.44153099110678,2023-07-31 13:30:00,-0.3826834323650892,-0.923879532511287,-2391.2816859330164,0.0,-2391.2816859330164
2023-07-31 13:45:00, 07/31  14:00:00,78.8,446.5,0.72567,0.0,2417.575142972388,76.74047341830425,0.0,0.0,51.0344969985814,0.0,0.0,20.478025152094503,2023-07-31 13:45:00,-0.4422886902190011,-0.8968727415326884,-2417.575142972388,0.0,-2417.575142972388
2023-07-31 14:00:00, 07/31  14:15:00,77.9,411.75,0.72567,0.0,2453.5941116489903,77.05879815575963,0.0,0.0,50.17512157911942,0.0,0.0,20.5210379229238,2023-07-31 14:00:00,-0.4999999999999997,-0.8660254037844388,-2453.5941116489903,0.0,-2453.5941116489903
2023-07-31 14:15:00, 07/31  14:30:00,77.0,377.0,0.72567,0.0,2475.692686091732,77.25391616681134,0.0,0.0,49.892095717405766,0.0,0.0,20.547556656782326,2023-07-31 14:15:00,-0.555570233019602,-0.8314696123025455,-2475.692686091732,0.0,-2475.692686091732
2023-07-31 14:30:00, 07/31  14:45:00,76.1,371.25,0.72567,0.0,2503.1072024579444,77.49603811045448,0.0,0.0,49.6710885161042,0.0,0.0,20.58285926362281,2023-07-31 14:30:00,-0.6087614290087203,-0.7933533402912354,-2503.1072024579444,0.0,-2503.1072024579444
2023-07-31 14:45:00, 07/31  15:00:00,75.2,365.5,0.72567,0.0,2526.929318105334,77.70634193180518,0.0,0.0,49.505114395344336,0.0,0.0,20.617314289791725,2023-07-31 14:45:00,-0.6593458151000685,-0.7518398074789777,-2526.929318105334,0.0,-2526.929318105334
2023-07-31 15:00:00, 07/31  15:15:00,72.5,359.75,0.72567,0.0,2534.127418987864,77.76997228833048,0.0,0.0,49.11995005475828,0.0,0.0,20.634492847483948,2023-07-31 15:00:00,-0.7071067811865471,-0.7071067811865479,-2534.127418987864,0.0,-2534.127418987864
2023-07-31 15:15:00, 07/31  15:30:00,69.8,354.0,0.72567,0.0,2541.1646062861546,77.83203095488676,0.0,0.0,47.91403843928905,0.0,0.0,20.64695641433229,2023-07-31 15:15:00,-0.7518398074789773,-0.6593458151000691,-2541.1646062861546,0.0,-2541.1646062861546
2023-07-31 15:30:00, 07/31  15:45:00,67.1,339.5,0.72567,0.0,2543.369797110306,77.85145977010376,0.0,0.0,46.02169555056318,0.0,0.0,20.64039748896731,2023-07-31 15:30:00,-0.7933533402912349,-0.6087614290087209,-2543.369797110306,0.0,-2543.369797110306
2023-07-31 15:45:00, 07/31  16:00:00,64.4,325.0,0.72567,0.0,2541.222035145197,77.83246945495986,0.0,0.0,43.59208690558648,0.0,0.0,20.61222589096801,2023-07-31 15:45:00,-0.8314696123025448,-0.555570233019603,-2541.222035145197,0.0,-2541.222035145197
